"","gender","race","education","state","age","employment","trump"
"113","Male","White","Undergraduates or similar degree","AR","Age_45-59",NA,1
"114","Male","White","Undergraduates or similar degree","AR","Age_60-74","unemployed",1
"115","Male","White",NA,"AR","Age_18-29","employed",0
"116","Male","White",NA,"AR","Age_45-59","employed",1
"117","Female","Asian","Graduates or higher degree","AZ","Age_30-44","employed",0
"118","Female","Asian","Highschool","AZ","Age_30-44","unemployed",1
"119","Female","Asian","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"120","Female","Asian","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"121","Female","Asian","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"122","Female","Asian","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"123","Female","Black","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"124","Female","Black","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"125","Female","Black","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"126","Female","Black","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"127","Female","Others","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"128","Female","Others","Undergraduates or similar degree","AZ","Age_18-29","unemployed",0
"129","Female","Others","Undergraduates or similar degree","AZ","Age_18-29","unemployed",0
"130","Female","Others","Undergraduates or similar degree","AZ","Age_30-44","unemployed",1
"131","Female","Others","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"132","Female","Others",NA,"AZ","Age_18-29","employed",0
"133","Female","Others",NA,"AZ","Age_30-44","unemployed",0
"134","Female","White","Graduates or higher degree","AZ","Age_30-44","employed",1
"135","Female","White","Graduates or higher degree","AZ","Age_60-74","employed",1
"136","Female","White","Graduates or higher degree","AZ","Age_60-74","unemployed",0
"137","Female","White","Highschool","AZ","Age_18-29","unemployed",0
"138","Female","White","Highschool","AZ","Age_60-74","unemployed",1
"139","Female","White","Highschool","AZ","Age_60-74","unemployed",1
"140","Female","White","Highschool","AZ","Age_60-74","unemployed",0
"141","Female","White","Highschool","AZ","Age_60-74","unemployed",0
"142","Female","White","Highschool","AZ","Age_60-74","unemployed",1
"143","Female","White","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"144","Female","White","Undergraduates or similar degree","AZ","Age_18-29","unemployed",1
"145","Female","White","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"146","Female","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"147","Female","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"148","Female","White","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"149","Female","White","Undergraduates or similar degree","AZ","Age_30-44","unemployed",1
"150","Female","White","Undergraduates or similar degree","AZ","Age_30-44","unemployed",1
"151","Female","White","Undergraduates or similar degree","AZ","Age_30-44","unemployed",1
"152","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"153","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"154","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",0
"155","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"156","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"157","Female","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"158","Female","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",0
"159","Female","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",0
"160","Female","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",0
"161","Female","White","Undergraduates or similar degree","AZ","Age_60-74","employed",0
"162","Female","White","Undergraduates or similar degree","AZ","Age_60-74","employed",0
"163","Female","White","Undergraduates or similar degree","AZ","Age_60-74","employed",1
"164","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"165","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"166","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"167","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"168","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"169","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"170","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"171","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"172","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"173","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"174","Female","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"175","Female","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",0
"176","Female","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",0
"177","Female","White",NA,"AZ","Age_18-29","unemployed",1
"178","Male","Asian","Undergraduates or similar degree","AZ","Age_45-59","employed",0
"179","Male","Asian",NA,"AZ","Age_30-44","employed",1
"180","Male","Black","Highschool","AZ","Age_18-29","employed",1
"181","Male","Black","Undergraduates or similar degree","AZ","Age_30-44","unemployed",0
"182","Male","Black","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"183","Male","Black",NA,"AZ","Age_18-29","employed",1
"184","Male","Others","Highschool","AZ","Age_18-29",NA,0
"185","Male","Others","Undergraduates or similar degree","AZ","Age_18-29","unemployed",1
"186","Male","Others","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"187","Male","Others","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"188","Male","White","Graduates or higher degree","AZ","Age_30-44","employed",1
"189","Male","White","Graduates or higher degree","AZ","Age_30-44","employed",1
"190","Male","White","Graduates or higher degree","AZ","Age_60-74","unemployed",0
"191","Male","White","Graduates or higher degree","AZ","Age_60-74","unemployed",0
"192","Male","White","Highschool","AZ","Age_18-29","employed",0
"193","Male","White","Highschool","AZ","Age_18-29","employed",0
"194","Male","White","Highschool","AZ","Age_30-44","employed",0
"195","Male","White","Highschool","AZ","Age_30-44","unemployed",1
"196","Male","White","Highschool","AZ","Age_45-59","unemployed",1
"197","Male","White","Highschool","AZ","Age_45-59","unemployed",0
"198","Male","White","Highschool","AZ","Age_60-74","unemployed",1
"199","Male","White","Highschool","AZ","Age_60-74","unemployed",1
"200","Male","White","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"201","Male","White","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"202","Male","White","Undergraduates or similar degree","AZ","Age_18-29","employed",1
"203","Male","White","Undergraduates or similar degree","AZ","Age_18-29","employed",0
"204","Male","White","Undergraduates or similar degree","AZ","Age_18-29","employed",1
"205","Male","White","Undergraduates or similar degree","AZ","Age_18-29","unemployed",0
"206","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"207","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"208","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"209","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"210","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"211","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"212","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",0
"213","Male","White","Undergraduates or similar degree","AZ","Age_30-44","employed",1
"214","Male","White","Undergraduates or similar degree","AZ","Age_30-44","unemployed",1
"215","Male","White","Undergraduates or similar degree","AZ","Age_30-44","unemployed",0
"216","Male","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"217","Male","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"218","Male","White","Undergraduates or similar degree","AZ","Age_45-59","employed",0
"219","Male","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"220","Male","White","Undergraduates or similar degree","AZ","Age_45-59","employed",1
"221","Male","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",1
"222","Male","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",1
"223","Male","White","Undergraduates or similar degree","AZ","Age_45-59","unemployed",1
"224","Male","White","Undergraduates or similar degree","AZ","Age_60-74","employed",1
"225","Male","White","Undergraduates or similar degree","AZ","Age_60-74","employed",0
"226","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"227","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"228","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"229","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"230","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"231","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"232","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",1
"233","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"234","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"235","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"236","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"237","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"238","Male","White","Undergraduates or similar degree","AZ","Age_60-74","unemployed",0
"239","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",0
"240","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",1
"241","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",1
"242","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",1
"243","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",1
"244","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",1
"245","Male","White","Undergraduates or similar degree","AZ","Age_75+","unemployed",0
"246","Male","White",NA,"AZ","Age_18-29","unemployed",0
"247","Male","White",NA,"AZ","Age_18-29","unemployed",0
"248","Male","White",NA,"AZ","Age_60-74","unemployed",0
"249","Female","Asian","Graduates or higher degree","CA","Age_18-29","employed",0
"250","Female","Asian","Graduates or higher degree","CA","Age_30-44","employed",0
"251","Female","Asian","Graduates or higher degree","CA","Age_30-44","unemployed",0
"252","Female","Asian","Graduates or higher degree","CA","Age_30-44","unemployed",0
"253","Female","Asian","Graduates or higher degree","CA","Age_45-59","employed",1
"254","Female","Asian","Graduates or higher degree","CA","Age_60-74","unemployed",0
"255","Female","Asian","Highschool","CA","Age_18-29","unemployed",0
"256","Female","Asian","Highschool","CA","Age_18-29","unemployed",0
"257","Female","Asian","Highschool","CA","Age_18-29","unemployed",0
"258","Female","Asian","Highschool","CA","Age_60-74","unemployed",0
"259","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","employed",0
"260","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","employed",0
"261","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","employed",0
"262","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"263","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"264","Female","Asian","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"265","Female","Asian","Undergraduates or similar degree","CA","Age_30-44","employed",0
"266","Female","Asian","Undergraduates or similar degree","CA","Age_30-44","employed",0
"267","Female","Asian","Undergraduates or similar degree","CA","Age_30-44","employed",0
"268","Female","Asian","Undergraduates or similar degree","CA","Age_30-44","employed",0
"269","Female","Asian","Undergraduates or similar degree","CA","Age_30-44","unemployed",1
"270","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","employed",0
"271","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","employed",0
"272","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","employed",1
"273","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","unemployed",0
"274","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","unemployed",0
"275","Female","Asian","Undergraduates or similar degree","CA","Age_45-59","unemployed",0
"276","Female","Asian","Undergraduates or similar degree","CA","Age_60-74","unemployed",1
"277","Female","Asian",NA,"CA","Age_18-29","employed",0
"278","Female","Asian",NA,"CA","Age_18-29","unemployed",0
"279","Female","Asian",NA,"CA","Age_18-29","unemployed",0
"280","Female","Asian",NA,"CA","Age_30-44","unemployed",1
"281","Female","Asian",NA,"CA","Age_45-59","employed",0
"282","Female","Black","Graduates or higher degree","CA","Age_18-29","employed",0
"283","Female","Black","Graduates or higher degree","CA","Age_30-44","unemployed",0
"284","Female","Black","Graduates or higher degree","CA","Age_45-59","employed",0
"285","Female","Black","Highschool","CA","Age_18-29","employed",0
"286","Female","Black","Highschool","CA","Age_18-29","unemployed",0
"287","Female","Black","Highschool","CA","Age_30-44","employed",0
"288","Female","Black","Highschool","CA","Age_45-59","unemployed",0
"289","Female","Black","Undergraduates or similar degree","CA","Age_18-29","employed",0
"290","Female","Black","Undergraduates or similar degree","CA","Age_18-29","employed",0
"291","Female","Black","Undergraduates or similar degree","CA","Age_18-29","employed",0
"292","Female","Black","Undergraduates or similar degree","CA","Age_30-44","employed",0
"293","Female","Black","Undergraduates or similar degree","CA","Age_30-44","employed",0
"294","Female","Black","Undergraduates or similar degree","CA","Age_30-44","employed",0
"295","Female","Black","Undergraduates or similar degree","CA","Age_30-44","employed",1
"296","Female","Black","Undergraduates or similar degree","CA","Age_30-44","unemployed",0
"297","Female","Black","Undergraduates or similar degree","CA","Age_45-59","employed",0
"298","Female","Black","Undergraduates or similar degree","CA","Age_45-59","employed",0
"299","Female","Black","Undergraduates or similar degree","CA","Age_45-59","employed",0
"300","Female","Black","Undergraduates or similar degree","CA","Age_60-74","employed",0
"301","Female","Black","Undergraduates or similar degree","CA","Age_60-74","unemployed",0
"302","Female","Black","Undergraduates or similar degree","CA","Age_60-74","unemployed",0
"303","Female","Black","Undergraduates or similar degree","CA","Age_60-74","unemployed",0
"304","Female","Black","Undergraduates or similar degree","CA","Age_60-74","unemployed",0
"305","Female","Black","Undergraduates or similar degree","CA","Age_60-74","unemployed",0
"306","Female","Black","Undergraduates or similar degree","CA","Age_75+","unemployed",0
"307","Female","Black",NA,"CA","Age_18-29","unemployed",0
"308","Female","Black",NA,"CA","Age_30-44","employed",0
"309","Female","Black",NA,"CA","Age_45-59","employed",0
"310","Female","Others","Graduates or higher degree","CA","Age_30-44","employed",0
"311","Female","Others","Graduates or higher degree","CA","Age_30-44","employed",1
"312","Female","Others","Graduates or higher degree","CA","Age_30-44","employed",1
"313","Female","Others","Highschool","CA","Age_18-29","employed",0
"314","Female","Others","Highschool","CA","Age_18-29","unemployed",0
"315","Female","Others","Highschool","CA","Age_18-29","unemployed",0
"316","Female","Others","Highschool","CA","Age_18-29","unemployed",0
"317","Female","Others","Highschool","CA","Age_18-29","unemployed",0
"318","Female","Others","Highschool","CA","Age_18-29","unemployed",0
"319","Female","Others","Highschool","CA","Age_45-59","unemployed",0
"320","Female","Others","Less than highschool","CA","Age_45-59","employed",1
"321","Female","Others","Undergraduates or similar degree","CA","Age_18-29","employed",0
"322","Female","Others","Undergraduates or similar degree","CA","Age_18-29","employed",0
"323","Female","Others","Undergraduates or similar degree","CA","Age_18-29","employed",0
"324","Female","Others","Undergraduates or similar degree","CA","Age_18-29","employed",1
"325","Female","Others","Undergraduates or similar degree","CA","Age_18-29","employed",0
"326","Female","Others","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"327","Female","Others","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"328","Female","Others","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"329","Female","Others","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"330","Female","Others","Undergraduates or similar degree","CA","Age_18-29","unemployed",1
"331","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"332","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",1
"333","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"334","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"335","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"336","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"337","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"338","Female","Others","Undergraduates or similar degree","CA","Age_30-44","employed",0
"339","Female","Others","Undergraduates or similar degree","CA","Age_30-44","unemployed",0
"340","Female","Others","Undergraduates or similar degree","CA","Age_30-44","unemployed",0
"341","Female","Others","Undergraduates or similar degree","CA","Age_45-59","employed",1
"342","Female","Others","Undergraduates or similar degree","CA","Age_45-59","employed",1
"343","Female","Others","Undergraduates or similar degree","CA","Age_45-59","unemployed",0
"344","Female","Others","Undergraduates or similar degree","CA","Age_45-59","unemployed",1
"345","Female","Others","Undergraduates or similar degree","CA","Age_60-74","unemployed",1
"346","Female","Others",NA,"CA","Age_18-29","employed",1
"347","Female","Others",NA,"CA","Age_18-29","unemployed",0
"348","Female","Others",NA,"CA","Age_18-29","unemployed",0
"349","Female","Others",NA,"CA","Age_30-44","employed",0
"350","Female","Others",NA,"CA","Age_30-44","employed",0
"351","Female","Others",NA,"CA","Age_60-74","unemployed",1
"352","Female","White","Graduates or higher degree","CA","Age_18-29","employed",0
"353","Female","White","Graduates or higher degree","CA","Age_18-29","employed",1
"354","Female","White","Graduates or higher degree","CA","Age_18-29","employed",1
"355","Female","White","Graduates or higher degree","CA","Age_30-44","employed",0
"356","Female","White","Graduates or higher degree","CA","Age_30-44","employed",0
"357","Female","White","Graduates or higher degree","CA","Age_30-44","employed",0
"358","Female","White","Graduates or higher degree","CA","Age_30-44","employed",0
"359","Female","White","Graduates or higher degree","CA","Age_30-44","unemployed",1
"360","Female","White","Graduates or higher degree","CA","Age_30-44","unemployed",0
"361","Female","White","Graduates or higher degree","CA","Age_45-59","employed",1
"362","Female","White","Graduates or higher degree","CA","Age_45-59","employed",0
"363","Female","White","Graduates or higher degree","CA","Age_45-59","employed",0
"364","Female","White","Graduates or higher degree","CA","Age_60-74","employed",0
"365","Female","White","Graduates or higher degree","CA","Age_60-74","employed",1
"366","Female","White","Graduates or higher degree","CA","Age_60-74","employed",1
"367","Female","White","Graduates or higher degree","CA","Age_60-74","employed",0
"368","Female","White","Graduates or higher degree","CA","Age_60-74","employed",0
"369","Female","White","Graduates or higher degree","CA","Age_60-74","unemployed",0
"370","Female","White","Graduates or higher degree","CA","Age_60-74","unemployed",0
"371","Female","White","Graduates or higher degree","CA","Age_60-74","unemployed",1
"372","Female","White","Highschool","CA","Age_18-29","employed",0
"373","Female","White","Highschool","CA","Age_18-29","employed",1
"374","Female","White","Highschool","CA","Age_18-29","unemployed",1
"375","Female","White","Highschool","CA","Age_18-29","unemployed",0
"376","Female","White","Highschool","CA","Age_18-29","unemployed",0
"377","Female","White","Highschool","CA","Age_18-29","unemployed",0
"378","Female","White","Highschool","CA","Age_30-44","unemployed",0
"379","Female","White","Highschool","CA","Age_30-44","unemployed",1
"380","Female","White","Highschool","CA","Age_30-44","unemployed",0
"381","Female","White","Highschool","CA","Age_45-59","employed",1
"382","Female","White","Highschool","CA","Age_45-59","employed",1
"383","Female","White","Highschool","CA","Age_45-59","unemployed",0
"384","Female","White","Highschool","CA","Age_45-59","unemployed",1
"385","Female","White","Highschool","CA","Age_45-59","unemployed",0
"386","Female","White","Highschool","CA","Age_45-59",NA,0
"387","Female","White","Highschool","CA","Age_60-74","unemployed",1
"388","Female","White","Less than highschool","CA","Age_18-29","unemployed",1
"389","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"390","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"391","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",1
"392","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",1
"393","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"394","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",1
"395","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"396","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"397","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"398","Female","White","Undergraduates or similar degree","CA","Age_18-29","employed",0
"399","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"400","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"401","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"402","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"403","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"404","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",0
"405","Female","White","Undergraduates or similar degree","CA","Age_18-29","unemployed",1
